,Feature,Mean SHAP Value,Absolute value
108,leggings,1421078.7033259908,1421078.7033259908
158,terry,393521.1121203267,393521.1121203267
62,short-sleeve,262978.8285919807,262978.8285919807
170,polo,259045.1738264478,259045.1738264478
251,camo,250280.8755858065,250280.8755858065
337,crop,243113.3038816177,243113.3038816177
413,washed,231766.06125107297,231766.06125107297
236,asymmetrical-waist,208563.16137311762,208563.16137311762
359,hydroguard,197472.32416662443,197472.32416662443
21,boardskirt,174065.13093480747,174065.13093480747
242,chore,172454.79667376413,172454.79667376413
428,bikini,167840.8218767019,167840.8218767019
120,satin,145693.2157828611,145693.2157828611
54,statement,133231.4681112064,133231.4681112064
372,volleyball,128965.56164861836,128965.56164861836
385,sleeveless,121420.00045666425,121420.00045666425
37,socks,109497.05273102605,109497.05273102605
211,pickleball,91967.90637586873,91967.90637586873
160,hijab,88996.00811835239,88996.00811835239
414,track,80645.43200379812,80645.43200379812
455,kick,78774.70181438938,78774.70181438938
338,"9""",65319.06539880779,65319.06539880779
32,soccer,62313.86711407274,62313.86711407274
228,blade,52921.6415580948,52921.6415580948
196,heathered,49444.20599429842,49444.20599429842
203,button-down,42810.402209928834,42810.402209928834
380,wrestling,32464.287960637845,32464.287960637845
362,uv,31514.82408902672,31514.82408902672
217,long,28567.111269107372,28567.111269107372
82,lace-up,19772.095510321342,19772.095510321342
340,tight,18854.652922759975,18854.652922759975
299,4-pad,16528.622174541008,16528.622174541008
14,mini,15844.229169062115,15844.229169062115
304,3,15278.713916141265,15278.713916141265
159,patch,14697.639633404642,14697.639633404642
204,fusion,11069.113654319803,11069.113654319803
3,ncaa,10504.08013476564,10504.08013476564
216,pre-match,8401.53674933957,8401.53674933957
173,jumpman,8336.186795858184,8336.186795858184
339,1/2-length,8273.818193949266,8273.818193949266
166,pleated,7964.152792896914,7964.152792896914
201,pairs,5917.245120038481,5917.245120038481
444,maternity,4980.43819359005,4980.43819359005
310,lightweight,4062.8864565976264,4062.8864565976264
5,3-in-1,3498.017444827739,3498.017444827739
445,mesh,2614.012042346032,2614.012042346032
369,top,2308.829154943424,2308.829154943424
270,ultra,1448.909515906765,1448.909515906765
133,bodycon,1399.3313003865405,1399.3313003865405
431,college,1225.6201017054618,1225.6201017054618
39,softball,988.6026504351507,988.6026504351507
151,hydrastrong,801.6536289975417,801.6536289975417
59,easy,763.4528294932924,763.4528294932924
223,woven,763.1636630788981,763.1636630788981
30,allover,715.9247429912984,715.9247429912984
77,training,637.0745830804095,637.0745830804095
241,courtside,623.0444849677872,623.0444849677872
456,"3""",606.3362382566118,606.3362382566118
244,duster,580.1902756782165,580.1902756782165
15,trunks,465.1729702531108,465.1729702531108
253,cargo,402.9331216678499,402.9331216678499
333,bandage,401.15120651543225,401.15120651543225
165,hem,83.48881225971168,83.48881225971168
463,v-neck,59.10950452958183,59.10950452958183
332,support,8.023317689208046,8.023317689208046
200,u-neck,4.097779878383896,4.097779878383896
363,cape,3.0049922461634404,3.0049922461634404
356,t-shirt,1.6454550936201349,1.6454550936201349
247,pant,0.9451903714661285,0.9451903714661285
188,split-hem,0.9402547322623889,0.9402547322623889
374,briefs,0.6833565423733126,0.6833565423733126
230,midkini,0.6461629181006048,0.6461629181006048
459,sheer,0.3092284103885833,0.3092284103885833
345,high-waist,0.19934950022215042,0.19934950022215042
383,shrug,0.0506541009334315,0.0506541009334315
375,cutoff,0.03840190023996688,0.03840190023996688
379,coaches,0.02737984198132715,0.02737984198132715
443,ribbed,0.019677164755431076,0.019677164755431076
152,bandon,0.018385047762044613,0.018385047762044613
286,corduroy,0.014974882583814917,0.014974882583814917
161,biker,0.014938212963938862,0.014938212963938862
43,dugout,0.013771758398368092,0.013771758398368092
99,canvas,0.012749313112250842,0.012749313112250842
10,victory,0.012071126184788658,0.012071126184788658
139,tapered,0.010735345058177729,0.010735345058177729
226,poly,0.00860318761741564,0.00860318761741564
284,windproof,0.008433111445398532,0.008433111445398532
149,"6""",0.007985004930944213,0.007985004930944213
300,harrington,0.007315878073605907,0.007315878073605907
52,diamond,0.0071692881866707355,0.0071692881866707355
335,chino,0.007078284865651853,0.007078284865651853
274,warm-up,0.006104406028235648,0.006104406028235648
17,flow,0.0060861249340043375,0.0060861249340043375
107,flag,0.006041419591070491,0.006041419591070491
7,packable,0.005699610316042397,0.005699610316042397
401,bungee,0.005509651699778877,0.005509651699778877
234,anthem,0.005333625069889652,0.005333625069889652
350,practice,0.005123429561566998,0.005123429561566998
6,collared,0.004707254636875657,0.004707254636875657
138,trouser,0.004559357995786371,0.004559357995786371
402,nike,0.004530252392647984,0.004530252392647984
119,stock,0.004365026660928554,0.004365026660928554
341,high-pile,0.0041220903500441336,0.0041220903500441336
73,bike,0.004115959572828891,0.004115959572828891
259,"10""",0.003882750008670643,0.003882750008670643
229,"4""",0.003702001413277878,0.003702001413277878
320,cover-up,0.0033951562569329106,0.0033951562569329106
131,cuffed,0.003367741220432556,0.003367741220432556
255,"7""",0.003358114136130186,0.003358114136130186
384,water-resistant,0.002995900017681527,0.002995900017681527
442,polar,0.0029087780877918444,0.0029087780877918444
94,trail,0.002894518344842029,0.002894518344842029
347,carpenter,0.0028742115203402225,0.0028742115203402225
254,double-knee,0.002594235155685078,0.002594235155685078
373,waffle,0.0024918070477595606,0.0024918070477595606
181,n24,0.002366925920370434,0.002366925920370434
393,tear-away,0.001849954141159664,0.001849954141159664
136,slider,0.001826058022270926,0.001826058022270926
265,nyc,0.0017912069579930983,0.0017912069579930983
187,reverse,0.0016624324683495702,0.0016624324683495702
424,engineered,0.0015676958547100582,0.0015676958547100582
191,"10.5""",0.0014806337526989959,0.0014806337526989959
18,capri,0.001474447769231936,0.001474447769231936
144,"11""",0.0013886247492358823,0.0013886247492358823
74,high-support,0.0012711056368733384,0.0012711056368733384
124,zip-front,0.0012063863858933297,0.0012063863858933297
155,flight,0.001167731776420295,0.001167731776420295
212,extended,0.0011013670194125625,0.0011013670194125625
16,balloon,0.0010272340571698647,0.0010272340571698647
143,french-terry,0.0009952671271353166,0.0009952671271353166
150,jacquard,0.0009421725848117467,0.0009421725848117467
197,taper,0.0009394911187871695,0.0009394911187871695
370,dye,0.0009348589186671304,0.0009348589186671304
25,zippered,0.0008755124682175264,0.0008755124682175264
432,"8""",0.0008600833902641225,0.0008600833902641225
104,cuff,0.0008593520453178693,0.0008593520453178693
117,legend,0.0008540347900045244,0.0008540347900045244
355,stretch,0.0008342788161681057,0.0008342788161681057
167,dna,0.0007960372338597755,0.0007960372338597755
382,protection,0.0007595158455362811,0.0007595158455362811
239,bandeau,0.0006867664879623424,0.0006867664879623424
409,core,0.0006404515659570788,0.0006404515659570788
106,max,0.0006384428509586217,0.0006384428509586217
101,cheer,0.0005101145085822905,0.0005101145085822905
153,tunnel,0.00047444105536528097,0.00047444105536528097
252,90,0.00046857920491674465,0.00046857920491674465
358,ma1,0.0004408817236368458,0.0004408817236368458
109,low-rise,0.00041722234801040123,0.00041722234801040123
389,lightly,0.00039879923237598524,0.00039879923237598524
371,cotton,0.00032265744566895894,0.00032265744566895894
348,ultra-high-waisted,0.0002615520398893762,0.0002615520398893762
177,high,0.000240440915865462,0.000240440915865462
272,wave,0.00023865855995525362,0.00023865855995525362
70,straight,0.00021757396967700805,0.00021757396967700805
452,crossover,0.00019956373749950717,0.00019956373749950717
172,non-padded,0.00018456896067865907,0.00018456896067865907
331,mock,0.00018383773443958338,0.00018383773443958338
28,light-support,0.0001770426306979755,0.0001770426306979755
9,playoff,0.0001555506003534304,0.0001555506003534304
411,court,0.00011594280492957702,0.00011594280492957702
433,mantra,0.00011567765592915745,0.00011567765592915745
427,2023,0.00011446113408515483,0.00011446113408515483
103,tankini,0.00010520082630683552,0.00010520082630683552
50,3/4-sleeve,9.01741951484296e-05,9.01741951484296e-05
208,ribbed-panel,7.74109722585484e-05,7.74109722585484e-05
76,pair,4.179850269507564e-05,4.179850269507564e-05
24,tie-back,3.224486109511732e-05,3.224486109511732e-05
282,1,2.357387295809291e-05,2.357387295809291e-05
449,pump-compatible,0.0,0.0
292,3/4,0.0,0.0
314,"knit""",0.0,0.0
318,2-button,0.0,0.0
327,"""tuff",0.0,0.0
287,jumpsuit,0.0,0.0
396,85,0.0,0.0
285,t-back,0.0,0.0
390,pad,0.0,0.0
264,marina,0.0,0.0
260,hike,0.0,0.0
381,player,0.0,0.0
420,dr-fit,0.0,0.0
418,up,0.0,0.0
329,pregame,0.0,0.0
343,365,0.0,0.0
388,collegiate,0.0,0.0
397,commuter,0.0,0.0
328,heritage,0.0,0.0
467,yoga,0.0,0.0
137,and,0.0,0.0
45,overalls,0.0,0.0
27,down,0.0,0.0
185,work,0.0,0.0
116,wearable,0.0,0.0
122,square,0.0,0.0
123,square-neck,0.0,0.0
102,defensive,0.0,0.0
23,rain,0.0,0.0
49,wordmark,0.0,0.0
142,midweight,0.0,0.0
56,parade,0.0,0.0
11,color-block,-1.181903372702517e-05,1.181903372702517e-05
154,air,-1.5893792806194523e-05,1.5893792806194523e-05
44,5-pocket,-3.006496386034847e-05,3.006496386034847e-05
97,light,-3.645358668464311e-05,3.645358668464311e-05
312,year,-3.915543983981487e-05,3.915543983981487e-05
92,rookie,-4.977572975318631e-05,4.977572975318631e-05
294,the,-6.39981344574919e-05,6.39981344574919e-05
218,"2""",-6.802441750306062e-05,6.802441750306062e-05
224,of,-8.350719762497099e-05,8.350719762497099e-05
184,muscle,-9.076213264488653e-05,9.076213264488653e-05
195,2024,-9.74936142148399e-05,9.74936142148399e-05
126,warm,-0.00010090121745984066,0.00010090121745984066
169,9\94,-0.00013232258400584334,0.00013232258400584334
194,scoop-neck,-0.00017257316782542045,0.00017257316782542045
438,forward-lined,-0.00017668755351337305,0.00017668755351337305
387,collage,-0.00020456434723923266,0.00020456434723923266
81,belted,-0.00020769212830679695,0.00020769212830679695
439,high-hip,-0.00020784039155966294,0.00020784039155966294
210,modal,-0.0002143116795753055,0.0002143116795753055
115,asymmetrical,-0.0003165526652999046,0.0003165526652999046
441,fadeaway,-0.0003570122290032874,0.0003570122290032874
111,ignite,-0.00037004458413935205,0.00037004458413935205
344,poole,-0.0003750197349972757,0.0003750197349972757
180,keyhole,-0.00041635583164993206,0.00041635583164993206
278,authentic,-0.0004997354267130453,0.0004997354267130453
69,brief,-0.0005004677977671662,0.0005004677977671662
460,7/8-length,-0.0005146834865430728,0.0005146834865430728
289,hiking,-0.0005744463331587325,0.0005744463331587325
324,twist,-0.0005913572573790014,0.0005913572573790014
84,waxed,-0.0005971494444132149,0.0005971494444132149
222,one,-0.0006199283632627861,0.0006199283632627861
453,mid-waisted,-0.000691283663601647,0.000691283663601647
57,retro,-0.0008211992123025581,0.0008211992123025581
430,cable,-0.0008488216694118784,0.0008488216694118784
248,p44,-0.0010648067160553285,0.0010648067160553285
464,color-blocked,-0.0010915269604542136,0.0010915269604542136
105,strappy,-0.0011309456918640575,0.0011309456918640575
313,nursing,-0.0013884749210789043,0.0013884749210789043
214,henley,-0.001470323739269863,0.001470323739269863
311,"5""",-0.001482083712938228,0.001482083712938228
78,ringer,-0.0015132963744946676,0.0015132963744946676
306,cozy,-0.001653449594640146,0.001653449594640146
403,curve,-0.001729683540812512,0.001729683540812512
35,m90,-0.0017688579491797172,0.0017688579491797172
280,el,-0.001960852396412884,0.001960852396412884
2,bomber,-0.0021889763822558906,0.0021889763822558906
237,breakaway,-0.002262776035633492,0.002262776035633492
175,insulated,-0.002404286110488327,0.002404286110488327
71,leg,-0.0025719012752951262,0.0025719012752951262
367,skate,-0.0025777292602183768,0.0025777292602183768
19,adjustable,-0.002603579859127487,0.002603579859127487
281,sling,-0.002740087196131366,0.002740087196131366
342,fatigue,-0.003011349045472711,0.003011349045472711
232,water-repellent,-0.0030917456995343253,0.0030917456995343253
256,convertible,-0.0033504647014477858,0.0033504647014477858
276,tearaway,-0.004155198894134182,0.004155198894134182
325,puffer,-0.004233024899896607,0.004233024899896607
249,girlfriend,-0.004251425072846758,0.004251425072846758
95,2-in-1,-0.004366414699027401,0.004366414699027401
225,board,-0.004495880448093928,0.004495880448093928
112,longline,-0.004759607062427558,0.004759607062427558
87,tailored,-0.004927617962048522,0.004927617962048522
89,fleece-lined,-0.004996868560408803,0.004996868560408803
147,atmosphere,-0.0061568286940588985,0.0061568286940588985
227,unlined,-0.00780798009133915,0.00780798009133915
96,halo,-0.007895061415066839,0.007895061415066839
206,wool,-0.00916176624780546,0.00916176624780546
416,fashion,-0.009599232091444684,0.009599232091444684
26,volley,-0.011722138581135303,0.011722138581135303
86,hockey,-0.011910767444274507,0.011910767444274507
46,destroyer,-0.01527116718057699,0.01527116718057699
360,camp,-0.026560709202553635,0.026560709202553635
447,max90,-0.04065143854275084,0.04065143854275084
326,replica,-0.05508378906855321,0.05508378906855321
145,breathe,-0.05707330168168602,0.05707330168168602
266,swingman,-0.08411467971166103,0.08411467971166103
366,cooperstown,-0.09072900119244176,0.09072900119244176
114,turtleneck,-0.17048653369553912,0.17048653369553912
192,game,-0.31712779673616814,0.31712779673616814
127,utility,-0.3845408873879617,0.3845408873879617
209,limited,-0.7313971673793059,0.7313971673793059
168,mod,-0.8993291630775038,0.8993291630775038
398,elite,-1.0159419014526783,1.0159419014526783
156,panel,-1.1000994746376254,1.1000994746376254
291,midi,-2.0455610512760094,2.0455610512760094
454,cross-back,-3.6046484528632803,3.6046484528632803
336,varsity,-4.548911939066599,4.548911939066599
352,neck,-5.309422755961936,5.309422755961936
298,field,-33.33773283688605,33.33773283688605
135,bottoms,-38.476210161606275,38.476210161606275
412,back,-43.333748698759976,43.333748698759976
66,open,-76.48709189824902,76.48709189824902
308,cami,-144.63730767115604,144.63730767115604
171,print,-160.7999646782025,160.7999646782025
51,shorts,-212.55915615751465,212.55915615751465
179,undershirt,-238.09144614926936,238.09144614926936
466,cheeky,-295.0315295118592,295.0315295118592
279,weightlifting,-1001.5721661139463,1001.5721661139463
163,nfl,-4022.064528364289,4022.064528364289
462,flouncy,-4295.57055250196,4295.57055250196
365,womens,-4424.25098950986,4424.25098950986
417,lacrosse,-4654.4011195494695,4654.4011195494695
235,hoodie,-4742.879667589693,4742.879667589693
93,crew-neck,-4872.433343512631,4872.433343512631
110,plus,-6256.72523331637,6256.72523331637
376,jeano,-7868.24163085229,7868.24163085229
91,fit,-9998.217428716072,9998.217428716072
40,scoop-back,-10084.289601607827,10084.289601607827
31,hyper,-10580.574706364345,10580.574706364345
238,button-up,-11501.377135938237,11501.377135938237
176,rashguard,-11974.49260480828,11974.49260480828
80,mini-rib,-12087.257993745572,12087.257993745572
436,traditions,-16447.732860953816,16447.732860953816
33,pockets,-17619.96702740306,17619.96702740306
219,sweatshirt,-18400.407839224546,18400.407839224546
354,heroes,-19403.6875998411,19403.6875998411
465,pants,-21213.233258695305,21213.233258695305
323,jersey,-25292.80797098224,25292.80797098224
47,open-hem,-25978.48069252198,25978.48069252198
58,zip,-28541.05481555794,28541.05481555794
273,therma,-29237.27529707157,29237.27529707157
283,lined,-33652.170625682375,33652.170625682375
1,oxford,-34116.79643510385,34116.79643510385
164,&,-36282.81706905411,36282.81706905411
64,zip-off,-38900.263474479485,38900.263474479485
231,hybrid,-40313.017636742225,40313.017636742225
20,logo,-40519.863599260374,40519.863599260374
316,3/4-length,-42266.15739950548,42266.15739950548
400,distressed,-42827.782066999294,42827.782066999294
199,short,-45170.816179221096,45170.816179221096
245,jordan,-47094.24265913208,47094.24265913208
205,nba,-47897.042955897676,47897.042955897676
8,seersucker,-49324.14084401195,49324.14084401195
183,fitted,-56906.60850744206,56906.60850744206
301,heavyweight,-57045.350370113636,57045.350370113636
128,poolside,-58352.05495870388,58352.05495870388
12,jogger,-64548.70771546528,64548.70771546528
288,tunic,-66308.06217082907,66308.06217082907
90,half-zip,-70514.1255074518,70514.1255074518
437,cardigan,-73308.98820427591,73308.98820427591
268,brushed-back,-76521.83100017936,76521.83100017936
434,tech,-79483.7139114546,79483.7139114546
410,mlb,-80090.32446176307,80090.32446176307
213,standard,-81316.6250172044,81316.6250172044
408,racerback,-90584.65607684372,90584.65607684372
346,french,-92069.51743143919,92069.51743143919
303,swimsuit,-92652.33541906651,92652.33541906651
157,suit,-93644.34946302652,93644.34946302652
435,baseball,-94923.02321575048,94923.02321575048
364,singlet,-96744.83841640552,96744.83841640552
98,high-rise,-99156.74211623496,99156.74211623496
386,parka,-113364.61596535574,113364.61596535574
65,military,-113521.68532575185,113521.68532575185
140,pocket,-116475.16368834997,116475.16368834997
42,with,-119236.33310922618,119236.33310922618
198,pullover,-123915.05678840155,123915.05678840155
271,long-sleeve,-125389.85312322651,125389.85312322651
263,full-length,-129148.56921395875,129148.56921395875
174,repel,-130504.06645521286,130504.06645521286
53,infinalon,-142139.6406637478,142139.6406637478
458,unitard,-149349.89864820355,149349.89864820355
34,hooded,-153953.87498116173,153953.87498116173
221,club,-158218.17652467772,158218.17652467772
61,slim,-161082.76219770013,161082.76219770013
392,mock-neck,-166412.03006093096,166412.03006093096
461,shirt,-173915.41958031867,173915.41958031867
85,tees,-177253.54067285627,177253.54067285627
141,anorak,-182778.4610553112,182778.4610553112
295,brief-lined,-184892.22841813226,184892.22841813226
357,padded,-188112.3956580383,188112.3956580383
134,fairway,-189304.45824287113,189304.45824287113
391,issue,-192472.93520033188,192472.93520033188
307,boxer,-199750.20443503596,199750.20443503596
215,football,-221096.2628770023,221096.2628770023
83,crewneck,-240472.918203461,240472.918203461
257,reversible,-241034.06022725225,241034.06022725225
368,trousers,-257216.7020443404,257216.7020443404
309,layer,-270589.3509186883,270589.3509186883
38,computational,-274289.1055938605,274289.1055938605
113,7/8,-276152.2924087114,276152.2924087114
361,dri-fit,-309892.5002472861,309892.5002472861
404,mid-layer,-331914.54485353193,331914.54485353193
186,skort,-334336.5049646873,334336.5049646873
261,holiday,-340771.59234051674,340771.59234051674
118,therma-fit,-350388.0421125306,350388.0421125306
258,tracksuit,-363262.239563198,363262.239563198
269,printed,-366362.39955802134,366362.39955802134
448,loose,-369190.44579073606,369190.44579073606
55,storm-fit,-374260.40551238577,374260.40551238577
0,tee,-386451.9927410073,386451.9927410073
75,hat,-422709.86830027396,422709.86830027396
450,jacket,-433827.42902215297,433827.42902215297
178,mid-rise,-441456.74185309716,441456.74185309716
440,fitness,-443468.82007594267,443468.82007594267
233,golf,-449937.244999316,449937.244999316
407,adv,-482541.5972254503,482541.5972254503
262,high-waisted,-517904.38927315164,517904.38927315164
275,funnel-neck,-548386.82915704,548386.82915704
193,trench,-555036.8486909876,555036.8486909876
41,gymnastics,-589994.7359184718,589994.7359184718
129,shacket,-595821.7504694633,595821.7504694633
162,layered,-620158.7760311131,620158.7760311131
457,coat,-627953.7748014493,627953.7748014493
190,knit,-639228.9596456618,639228.9596456618
317,1/2-zip,-663715.2671624054,663715.2671624054
399,basketball,-675987.8625208725,675987.8625208725
132,rugby,-709368.4222278261,709368.4222278261
220,versatile,-723635.3537590376,723635.3537590376
378,oversized,-739953.5447593376,739953.5447593376
189,joggers,-763027.5419669818,763027.5419669818
296,dry,-852519.3335777349,852519.3335777349
4,vest,-1009885.9906976753,1009885.9906976753
146,footie,-1081857.5960035063,1081857.5960035063
290,crew,-1159192.6325855677,1159192.6325855677
415,bodysuit,-1183048.1763705353,1183048.1763705353
267,dress,-1183291.5404209308,1183291.5404209308
36,scoop,-1224519.903517018,1224519.903517018
48,1-piece,-1227545.3117970836,1227545.3117970836
63,poncho,-1366739.783678114,1366739.783678114
349,bra,-1440614.6013143698,1440614.6013143698
315,swim,-1449317.0335074815,1449317.0335074815
246,mid,-1456152.3805692368,1456152.3805692368
425,performance,-1474962.7457129816,1474962.7457129816
421,size,-1600058.9338631402,1600058.9338631402
13,windshirt,-1604957.9808464558,1604957.9808464558
419,nwsl,-1638300.8682368358,1638300.8682368358
429,full-zip,-1732502.9239018033,1732502.9239018033
148,high-neck,-1736506.7253083256,1736506.7253083256
29,skirt,-1772906.8388423065,1772906.8388423065
243,boxy,-2018614.656106052,2018614.656106052
353,fleece,-2050597.9109109228,2050597.9109109228
121,sleeve,-2061323.392001385,2061323.392001385
240,denim,-2084777.1698180009,2084777.1698180009
202,2-pack,-2097167.5526952734,2097167.5526952734
406,tank,-2108279.0772943273,2108279.0772943273
88,full-coverage,-2158636.8416304113,2158636.8416304113
250,graphic,-2164941.7915520747,2164941.7915520747
423,flared,-2400458.032037136,2400458.032037136
22,sweater,-2403740.9257056755,2403740.9257056755
319,checkers,-2425723.1190905757,2425723.1190905757
334,drill,-2494295.673339316,2494295.673339316
297,running,-2544030.3404177856,2544030.3404177856
451,gentle-support,-2749208.264430439,2749208.264430439
182,quilted,-2975982.5292011416,2975982.5292011416
100,slim-fit,-3026556.0220952085,3026556.0220952085
305,medium-support,-3380434.3111019377,3380434.3111019377
330,solid,-3384424.1611620556,3384424.1611620556
130,sweatpants,-3413974.097623516,3413974.097623516
79,wide-leg,-3666491.307748494,3666491.307748494
60,one-piece,-3678287.795833411,3678287.795833411
395,mesh-paneled,-3751245.3987768395,3751245.3987768395
351,wnba,-3877482.812335732,3877482.812335732
377,bottom,-3891183.742000579,3891183.742000579
302,racing,-3930872.665268969,3930872.665268969
67,sports,-3979632.1133461343,3979632.1133461343
394,firm-support,-4048053.314721153,4048053.314721153
446,string,-4082702.3801113022,4082702.3801113022
277,1/4-zip,-4228921.756516781,4228921.756516781
293,jammer,-4534672.188631683,4534672.188631683
68,tennis,-4695191.0099964915,4695191.0099964915
207,striped,-4778263.354456244,4778263.354456244
322,3-pack,-4811896.211689033,4811896.211689033
125,tights,-4936114.844203687,4936114.844203687
422,velour,-4947534.187560844,4947534.187560844
426,winterized,-5089985.402352649,5089985.402352649
72,bralette,-5336963.7210087385,5336963.7210087385
405,over-oversized,-5755059.478701637,5755059.478701637
321,cropped,-6177043.065242637,6177043.065242637
